invoice_number,date,net_worth,tax_id_1,tax_id_2,iban,seller_city,seller_state,seller_zip,client_city,client_state,client_zip,seller_name,seller_address,client_name,client_address,source_file,vat,gross_worth
62416513,05/05/2013,377.95,999-92-4501,975-83-3913,GBO2PADT01686568494870,South Jacqueline,WI,98616,South Jacqueline,WI,98616,Eaton LLC,487 Jerry Lane,Miller-Campbell,704 Erika Route,invoice_103_color_B_241.pdf0.txt,37.795,415.745
48402876,02/06/2020,4198.86,949-90-2869,930-79-2809,GB80ESDN56327720432862,Doyleport,SC,14345,Doyleport,SC,14345,Stone-Ruiz,938 Dillon Views Suite 267,Chapman-Pineda,8840 Daniel Coves Suite 235,invoice_104.pdf0.txt,419.88599999999997,4618.745999999999
55043266,03/15/2012,614.96,976-96-9196,982-76-3791,GB36UQPH09586322205377,Hutchinsonside,MT,30158,Hutchinsonside,MT,30158,Barnes Inc,483 Sherman Course Suite 973,"Smith, Payne and Vargas",783 Reyes Drive Suite 582,invoice_104_color_B_241.pdf0.txt,61.49600000000001,676.456
11158119,03/23/2019,119.98,988-96-5242,943-88-6756,GB83FTEF94522626404124,Moore LtdUSNV ThompsonFPO ,AE,33047,Moore LtdUSNV ThompsonFPO ,AE,33047,Moore Ltd,USNV Thompson,Graham-Shepherd,42634 Michelle Mission,invoice_105.pdf0.txt,11.998000000000001,131.978
48142412,02/02/2014,31111.67,951-83-5457,925-97-4219,GBO4DASF93147348040373,Port Mikemouth,NH,17585,Port Mikemouth,NH,17585,Ramirez-Nunez,77804 Dana Shore Apt. 422,"Park, Sullivan and Bernard",9558 Nichols Inlet Suite 261,invoice_105_color_B_254.pdf0.txt,3111.167,34222.837
65321852,04/11/2021,194.76,930-79-7845,957-82-7504,GB85XPMM58300597200061,New Ann,NE,54138,New Ann,NE,54138,"Kaufman, Cooper and Young",33451 Johnson Lake,Wells-Carlson,148 Carroll Village Suite 393,invoice_106.pdf0.txt,19.476,214.236
53695084,10/25/2015,1829.55,907-96-2126,950-83-8341,GB23EWWJ02101517027257,Kimport,OK,07575,Kimport,OK,07575,"Diaz, Warren and Carter",36206 Beth Circles Suite 449,"Black, Smith and Bass",USNS Ward,invoice_106_color_B_249.pdf0.txt,182.955,2012.5049999999999
86268868,03/30/2012,33587.47,974-70-5786,951-73-7519,GB90KGZY90567874189494,Markfurt,NH,79626,Markfurt,NH,79626,Harrison and Sons,8716 Tiffany Crescent,"Adams, Holmes and Cruz",096 Bradley Forge Suite 047,invoice_107.pdf0.txt,3358.7470000000003,36946.217000000004
65851875,05/06/2021,50.6,963-79-1859,939-76-1432,GB10CDOB89879026186527,USNV MillerFPO ,AE,13638,USNV MillerFPO ,AE,13638,"Glover, Harvey and Davis",USNV Miller,Perez Group,4789 Gregory Center Suite 150,invoice_107_color_B_248.pdf0.txt,5.0600000000000005,55.660000000000004
39280409,07/06/2014,1606.67,938-79-9168,965-83-8071,GB39WJUU70698169375316,Deniseshire,KY,95233,Deniseshire,KY,95233,Davis PLC,72057 Castillo Via,Bailey-Harris,106 Michael Street,invoice_108.pdf0.txt,160.66700000000003,1767.337
57262990,11/25/2016,24.66,995-87-4158,901-95-1569,GB37JTAK84616292458592,South Maria,AR,41635,South Maria,AR,41635,George-Roberts,344 Kelly Rapids Suite 233,Rivera Inc,1534 Mike Viaduct,invoice_108_color_B_251.pdf0.txt,2.466,27.126
87278875,07/06/2019,68.74,954-98-4076,938-94-3648,GB960NEJ77402455114924,Joshuabury,NM,79134,Joshuabury,NM,79134,Jackson-Martinez,719 Reyes Mill Apt. 833,"Foster, Travis and Harris",9816 Matthew Meadows Suite 574,invoice_109.pdf0.txt,6.874,75.61399999999999
49089384,08/17/2014,47093.65,921-77-6080,971-99-5388,GB24TUWZ29828090312120,Holttown,HI,95143,Holttown,HI,95143,Pruitt Inc,183 Nicole Forks,Glover and Sons,7234 Haas Crossing,invoice_109_color_B_252.pdf0.txt,4709.365000000001,51803.015
15203117,05/10/2019,23.2,903-87-8854,933-80-9316,GB12YIHU88023545549081,West Erik,DE,14910,West Erik,DE,14910,"Gutierrez, Shah and Davis",11259 Heidi Haven,"Howell, Bryant and Martinez",120 Martinez Gardens Suite 075,invoice_10_color_B_254.pdf0.txt,2.32,25.52
53737787,12/08/2011,186.82,908-76-0702,910-72-9133,GB71IDEI54877186092625,West Valeriechester,AZ,99439,West Valeriechester,AZ,99439,Levy-Vargas,7333 Noble Hill Suite 584,Kelly-Herring,8621 Maria Fords,invoice_11.pdf0.txt,18.682,205.50199999999998
16220332,05/15/2017,62853.39,995-72-1473,988-78-0364,GB30RUVA78076817247388,Gilesland,MI,45057,Gilesland,MI,45057,Lawson and Sons,78147 Jackson Fords,Mosley LLC,913 Lawrence Mountains,invoice_110.pdf0.txt,6285.339,69138.72899999999
10080932,05/30/2021,1300.84,941-94-4394,983-86-8494,GB15MBGH75492488995651,DPO ,AA,40058,DPO ,AA,40058,Young-Proctor,Unit 7126 Box 3040,"Gallagher, Welch and Campbell",8239 Cook Streets,invoice_110_color_B_242.pdf0.txt,130.084,1430.924
76999802,07/14/2020,74237.4,962-85-6776,953-71-2727,GB64FEHQ32175908346356,Kelseyland,WI,95749,Kelseyland,WI,95749,"Nolan, Williams and Roach",6916 Terry Forest,"Dixon, Hall and Payne",104 Maxwell Coves,invoice_111.pdf0.txt,7423.74,81661.14
88659425,10/15/2016,515.7,980-87-4061,941-70-8992,GB16YTDN72987233002849,North Mike,UT,95288,North Mike,UT,95288,Vance-Scott,1831 Jeremy Pass,Moore-Pierce,USCGC Hernandez,invoice_111_color_B_243.pdf0.txt,51.57000000000001,567.2700000000001
61619303,09/20/2013,961.21,930-98-2356,971-86-1778,GB89PBXV06755096377275,Rodriguezhaven,NE,81351,Rodriguezhaven,NE,81351,"Glenn, Roberts and Cochran",673 Ryan Loop,"Burgess, Evans and Moreno",0243 Adkins Shoals,invoice_112.pdf0.txt,96.12100000000001,1057.3310000000001
83326872,10/12/2019,3241.81,981-72-5707,957-88-6629,GB93DZWE23982846561488,Lake Justinton,DE,63896,Lake Justinton,DE,63896,"Brown, Santos and Peters",64933 Brown Curve,Fisher-Mendez,5713 Spencer Harbor,invoice_112_color_B_254.pdf0.txt,324.18100000000004,3565.991
56514066,05/14/2014,44.89,905-75-8307,955-86-3035,GB76WTTH68902414885248,Scottmouth,DC,45561,Scottmouth,DC,45561,"Snyder, Williams and Walter",77701 Francisco Shoals,Keller Inc,562 Rebecca Stravenue,invoice_113.pdf0.txt,4.489,49.379
47743201,07/23/2015,46.73,964-85-1551,912-96-7434,GB70WHXD28723919267896,Mcmahontown,NC,33950,Mcmahontown,NC,33950,Carpenter-Johnston,938 Charles Drives Suite 531,Greene-Dean,853 Megan Mills,invoice_113_color_B_240.pdf0.txt,4.673,51.403
74322107,02/02/2016,61.96,930-75-0933,915-98-4870,GB31YDUN56799610017131,New Laura,WA,77568,New Laura,WA,77568,Davis-Obrien,736 Derek Station Suite 883,Taylor Ltd,213 Thomas Vista,invoice_114.pdf0.txt,6.196000000000001,68.156
45072501,04/29/2017,145.22,993-70-9247,994-98-7413,GB65BSDX18427409737993,Herreraside,MI,03897,Herreraside,MI,03897,"Spears, Valdez and Perez",8283 Breanna Ford Apt. 551,Sanford-Huffman,5211 Michael Locks,invoice_114_color_B_249.pdf0.txt,14.522,159.742
33931957,12/17/2015,25.0,957-97-8143,903-94-1332,GB17YMKF08477262646620,Burnstown,LA,74485,Burnstown,LA,74485,Rojas-Cook,0132 Joy Views Apt. 106,Cohen LLC,637 Blake Keys,invoice_115.pdf0.txt,2.5,27.5
74474655,01/03/2015,108.39,939-87-8039,979-73-8511,GB78LJX136348036441752,West Belindaport,NY,17859,West Belindaport,NY,17859,Hunt Group,2888 Wallace Streets Suite 763,"Rogers, Parks and Hall",205 Paul Glens Apt. 198,invoice_115_color_B_253.pdf0.txt,10.839,119.229
70372519,05/01/2013,4469.89,970-75-4240,933-82-8453,GB19KZPB65453134501012,Smithtown,DC,63428,Smithtown,DC,63428,"Williamson, Murphy and Winters",6341 Pamela Views,"Brown, Rodriguez and Lopez",8747 Charles Alley,invoice_116.pdf0.txt,446.98900000000003,4916.879000000001
95592218,03/09/2017,18.49,965-76-9393,938-85-3914,GB94,Lake Richardtown,GA,05136,Lake Richardtown,GA,05136,Ortega-King,4287 Peterson Parkways Apt. 452,"Galloway, Robinson and Rice",287 Lopez Parks,invoice_116_color_B_243.pdf0.txt,1.849,20.339
94133236,12/12/2019,103986.8,980-76-7923,937-75-3172,GB72GHYW09265342345456,Lake Jane,MA,15473,Lake Jane,MA,15473,Parker Inc,6686 Duran Brooks Apt. 003,Jefferson Group,87490 Le Brooks,invoice_117.pdf0.txt,10398.68,114385.48000000001
33652903,05/19/2014,243.35,918-84-1406,916-71-6735,GB821EIC92575317339836,South Zachary,LA,06777,South Zachary,LA,06777,"Li, Briggs and Jones",283 Victoria Pines Apt. 573,Stewart and Sons,12815 Bell Throughway Apt. 780,invoice_117_color_B_241.pdf0.txt,24.335,267.685
51686132,06/27/2015,1384.95,953-96-5860,990-87-4012,GB67DSXM44548665165041,APO ,AA,03160,APO ,AA,03160,Stephens PLC,"PSC 4501, Box 4964","White, Blevins and Ellis",Unit 7297 Box 4160,invoice_118.pdf0.txt,138.495,1523.4450000000002
99988020,07/03/2013,4499.95,982-97-5710,933-90-7591,GB87LIST13922496116710,South Charlesland,MD,37382,South Charlesland,MD,37382,Foster Ltd,61890 Lisa Stravenue Apt. 418,Harvey-Palmer,"PSC 9706, Box 0648",invoice_118_color_B_252.pdf0.txt,449.995,4949.945
38829380,12/25/2017,17009.66,921-97-6915,979-96-0266,GB77WZUW03936127773887,Smithside,NY,16757,Smithside,NY,16757,Cook LLC,05622 Williams Ridge Apt. 320,"Meza, Griffin and Powell",Unit 3668 Box 9888,invoice_119.pdf0.txt,1700.9660000000001,18710.626
68868961,03/06/2014,4364.95,937-91-0606,921-90-5767,GB16Y0XG40499445558384,Anderson GroupUSNV ChaseFPO ,AA,34645,Anderson GroupUSNV ChaseFPO ,AA,34645,Anderson Group,USNV Chase,Gray LLC,"PSC 8012, Box 9767",invoice_119_color_B_240.pdf0.txt,436.495,4801.445
90265578,12/29/2017,995.67,938-79-6613,934-98-5592,GB76KYBW37918613762226,Lake Tylerport,UT,12516,Lake Tylerport,UT,12516,Cabrera-Thompson,16353 Foster Brooks,Martin-Morgan,2857 Wilson Pass Suite 600,invoice_11_color_B_253.pdf0.txt,99.56700000000001,1095.237
49923258,10/26/2011,1075.0,903-74-7444,935-77-3388,GB25DWRK25073532649300,Port Pamelamouth,SC,83489,Port Pamelamouth,SC,83489,Watson LLC,15758 Hartman Summit,Roth-Smith,802 Pamela Mission,invoice_12.pdf0.txt,107.5,1182.5
78566408,03/18/2016,207.89,918-88-8070,906-74-9305,GB76QCXU43762789246312,North Michaelborough,NE,70613,North Michaelborough,NE,70613,Clark PLC,3577 John Glen Suite 454,Adams and Sons,957 Flowers Drive Apt. 985,invoice_120.pdf0.txt,20.789,228.67899999999997
97802815,02/27/2013,509.99,978-99-6181,970-76-9057,GB24VX0C22859556183057,Lake Alexandria,OR,64728,Lake Alexandria,OR,64728,"Mcbride, Lowe and Robinson",05188 Angela Trace Suite 423,Bolton-Jackson,47386 Cody Route,invoice_120_color_B_244.pdf0.txt,50.999,560.989
95707254,07/20/2020,275.07,929-85-5933,923-94-2802,GBO7AGJU73318785668495,New Angelabury,CA,19896,New Angelabury,CA,19896,"Cobb, Allen and Diaz",8378 Long Station Apt. 840,"Carr, Odom and Jones",233 Justin Summit,invoice_121.pdf0.txt,27.507,302.577
67182330,06/05/2014,368.79,954-99-7182,955-98-4068,GB28JALD66709047561002,DPO ,AE,59527,DPO ,AE,59527,"Eaton, Thomas and Harrington",Unit 6671 Box 0945,Wright-Johnson,170 Nguyen Burg,invoice_121_color_B_253.pdf0.txt,36.879000000000005,405.66900000000004
72346654,10/25/2015,6757.46,955-96-9323,927-90-3514,GB98THYE24829931003032,Port Yolandaland,WY,20517,Port Yolandaland,WY,20517,Malone-Lopez,851 Hall Extensions Apt. 554,Perez Group,480 Destiny Ridge Suite 247,invoice_122.pdf0.txt,675.7460000000001,7433.206
89538216,09/09/2018,1529.79,921-81-6913,927-95-6832,GB40ESWD08979767150482,Laurenberg,WY,69237,Laurenberg,WY,69237,"Boyd, Franklin and Santos",89231 Stewart Flat,Boyer-Jackson,5096 Perry Forges Apt. 606,invoice_122_color_B_253.pdf0.txt,152.979,1682.769
60178633,12/25/2013,119.95,900-78-2621,939-81-7319,GB36JYKL45599075785785,South Meredithburgh,ND,48117,South Meredithburgh,ND,48117,Mendoza Group,40007 Brown Creek,"Elliott, Kelly and Warren",70134 Bridges Plains,invoice_123.pdf0.txt,11.995000000000001,131.945
65744802,03/30/2012,48.0,973-84-5258,927-76-9862,GB33PSJG02482992709528,East Robertbury,VT,55371,East Robertbury,VT,55371,"Yang, Barnes and Porter",41932 George Spurs Apt. 826,Bates and Sons,66926 Erica Gateway Apt. 558,invoice_123_color_B_252.pdf0.txt,4.800000000000001,52.8
76671573,04/08/2012,9.78,940-77-9230,912-85-0464,GBO3VHUR92534869762657,South Karen,ME,87798,South Karen,ME,87798,Benson LLC,4646 Joshua Ranch,"Smith, Landry and Ruiz",USS Bailey,invoice_124.pdf0.txt,0.978,10.758
49656852,08/28/2016,47696.5,965-74-9127,983-85-6334,GB83DUWH39995300044767,Andersontown,OK,24826,Andersontown,OK,24826,Ross and Sons,8675 Wayne Island,"Wall, Gonzalez and Armstrong",25143 Charles Dam,invoice_124_color_B_253.pdf0.txt,4769.650000000001,52466.15
46775557,04/05/2019,72.98,908-71-4639,972-82-7727,GB30LTFL22480789312543,Hicksfort,FL,60166,Hicksfort,FL,60166,"Roberts, Smith and Rogers",8415 Suarez Rapids,Rose Ltd,"PSC 3715, Box 5395",invoice_125.pdf0.txt,7.298000000000001,80.278
23876575,07/11/2016,3423.69,965-78-1116,945-79-5352,GB19SDIC93772652135580,Tapiachester,NY,95259,Tapiachester,NY,95259,"Alexander, Hensley and Watson",641 Newton Views,"Simpson, Barton and Barnes",0855 Chen Junctions,invoice_125_color_B_254.pdf0.txt,342.369,3766.059
97159829,09/18/2015,889.2,985-73-8194,994-72-1270,GB81LZW032519172531418,Lake Jonathan,RI,12335,Lake Jonathan,RI,12335,Bradley-Andrade,9879 Elizabeth Common,Castro PLC,Unit 9678 Box 9664,invoice_126.pdf0.txt,88.92000000000002,978.1200000000001
89379798,03/20/2020,28885.9,900-92-1998,904-79-4529,GB48HIIL39320241247330,Martinmouth,CO,22044,Martinmouth,CO,22044,Winters Inc,8562 Lopez River Apt. 143,Williams PLC,127 Corey Dale Suite 877,invoice_126_color_B_241.pdf0.txt,2888.59,31774.49
12456262,02/22/2012,53334.33,999-73-7345,924-94-5998,GB44WCRF64229286775104,East James,DC,00603,East James,DC,00603,Williams and Sons,655 Stephanie Inlet,Medina-Kennedy,217 Veronica Glen,invoice_127.pdf0.txt,5333.433000000001,58667.763000000006
20297202,04/28/2018,17.88,985-74-0425,924-81-2403,GB48WHYT08186585509931,Natashafurt,RI,89648,Natashafurt,RI,89648,"Sutton, Davis and Murray",39927 Esparza Coves Apt. 021,"Mitchell, Fletcher and Smith","PSC 0182, Box 4225",invoice_127_color_B_246.pdf0.txt,1.788,19.668
40703934,03/10/2016,217.48,980-91-2489,995-90-7291,GB76QYI056599829861096,Darlenetown,IL,99206,Darlenetown,IL,99206,Morales LLC,0655 Miles Radial,Moore-Miller,617 Davis Land Apt. 270,invoice_128.pdf0.txt,21.748,239.22799999999998
12877828,01/28/2017,366.35,975-72-2584,985-96-1315,GB82VYVG17099999462642,Madisonstad,WV,73835,Madisonstad,WV,73835,"Perez, Bell and Smith",8749 Natasha Burg Apt. 055,Woods Ltd,57607 Singh Fork Apt. 334,invoice_128_color_B_241.pdf0.txt,36.635000000000005,402.985
20850516,07/10/2017,177.55,902-92-0164,908-70-1405,GB48NZE029152051083956,USNS PetersonFPO ,AP,71052,USNS PetersonFPO ,AP,71052,Carney-Rogers,USNS Peterson,"Duncan, Mendoza and Mitchell",21954 Eduardo Passage,invoice_129.pdf0.txt,17.755000000000003,195.305
24467788,12/09/2016,1035.0,970-95-2243,954-83-2992,GB49LQQL11710394710747,New Rodney,MS,56817,New Rodney,MS,56817,"Owen, Peterson and Parsons",267 Perry Alley Suite 443,Rodriguez-Anderson,828 William Ford Suite 210,invoice_129_color_B_242.pdf0.txt,103.5,1138.5
23436462,03/06/2012,35345.21,944-70-6463,900-77-7897,GB71RHSP90814980139214,West Vanessa,FL,19084,West Vanessa,FL,19084,"Franklin, Wilson and Moore",16386 Connie Village,"Rivera, Cruz and Lane",2837 Farley Key Apt. 148,invoice_12_color_B_243.pdf0.txt,3534.521,38879.731
34911755,01/30/2019,181.09,915-82-2212,910-78-0055,GB96HTSB65053102617380,APO ,AA,17287,APO ,AA,17287,"Graham, Floyd and Johnson","PSC 4671, Box 8111","Martin, Russo and Gaines",439 Savannah Ports Apt. 792,invoice_13.pdf0.txt,18.109,199.199
13194726,05/29/2021,581.93,952-73-7223,995-88-9495,GB31LZXS20242755934691,Sims PLCUSS KramerFPO ,AA,81651,Sims PLCUSS KramerFPO ,AA,81651,,,Sims PLC,USS Kramer,invoice_130.pdf0.txt,58.193,640.1229999999999
75703845,05/20/2019,2205.34,934-74-9522,983-87-6459,GB25EDMB292087,DPO ,AA,33074,DPO ,AA,33074,Williams-Brown,Unit 7349 Box 4835,"Aguilar, Brown and Ray",53496 Matthew Corner Suite 461,invoice_130_color_B_250.pdf0.txt,220.53400000000002,2425.8740000000003
33137636,07/20/2015,195.48,989-72-9794,993-86-5833,GBO05ZUCN48071007458396,APO ,AP,66862,APO ,AP,66862,Mckenzie PLC,"PSC 9675, Box 3115",Schultz PLC,"PSC 8737, Box 8683",invoice_131.pdf0.txt,19.548000000000002,215.028
65937088,07/14/2011,1030.49,970-95-7983,980-94-9375,GB63KRJL69460294656260,East Debbie,AR,15215,East Debbie,AR,15215,"Wall, Lester and Curtis",11448 Kristie Points,"Barnes, Davis and Daniel",13379 Eric Flats Apt. 034,invoice_131_color_B_253.pdf0.txt,103.049,1133.539
93411242,01/07/2017,7160.71,965-74-4646,974-85-7776,GB42RRTT66211676813047,Nicholsville,NC,06077,Nicholsville,NC,06077,Harrison-Harris,9076 Maria Prairie Suite 382,Smith-Hill,65866 Armstrong Meadows Suite 009,invoice_132.pdf0.txt,716.071,7876.781
78985014,10/21/2020,10977.08,937-95-7072,903-84-2561,GB95QWSR26857909060365,East Jamesbury,DC,54800,East Jamesbury,DC,54800,"Gibson, Bradley and Jackson",9775 Stewart Views,Dickson LLC,017 Deanna Valleys Suite 173,invoice_132_color_B_245.pdf0.txt,1097.708,12074.788
25342867,01/10/2015,215.9,930-98-9727,943-78-4216,GB48GPKP09511878652700,New Cheryl,MN,85424,New Cheryl,MN,85424,Scott LLC,9711 Baker Estates Suite 344,"Brown, Miller and Wise",3723 Scott Glen,invoice_133.pdf0.txt,21.590000000000003,237.49
96856159,06/12/2014,639.96,925-92-2850,961-83-1800,GB71ASRS13473133281482,Changhaven,VA,74688,Changhaven,VA,74688,Bradford and Sons,478 Willis Trace Apt. 544,Sellers PLC,18791 Jennifer Heights,invoice_133_color_B_251.pdf0.txt,63.99600000000001,703.956
26248685,05/26/2018,281.0,978-83-5677,966-72-6194,GB97DXYE25395425116910,Zacharymouth,NE,79246,Zacharymouth,NE,79246,Baker Inc,8498 Baldwin Bypass Apt. 995,"Mitchell, Hill and Strickland",301 Jennifer Crossing Suite 311,invoice_134.pdf0.txt,28.1,309.1
41887406,03/24/2014,4829.85,999-71-3399,917-77-9225,GB25ZKNR97624698669256,East Patriciabury,GA,77651,East Patriciabury,GA,77651,Peterson-Branch,407 Gibbs Parkways,Wagner Ltd,4838 Howard Heights,invoice_134_color_B_248.pdf0.txt,482.98500000000007,5312.835
24344887,02/20/2020,54.99,909-87-7832,951-75-2882,GB54XIPK87973282182425,New Kimberly,WV,35092,New Kimberly,WV,35092,Cook Group,2562 Christie Freeway,Mercado-Nelson,53379 Kenneth Prairie,invoice_135.pdf0.txt,5.4990000000000006,60.489000000000004
24902792,02/27/2015,18973.88,988-82-5310,985-77-9408,GB39KVWC74758597496697,Port Adamburgh,DC,01782,Port Adamburgh,DC,01782,"Shields, Webb and Williams",6381 Paula Port,"Morrow, Heath and Gonzales","PSC 9186, Box 0531",invoice_135_color_B_249.pdf0.txt,1897.3880000000001,20871.268
37292788,07/12/2013,109.55,991-70-5110,973-73-9497,GB60YHSD00503639265086,Dunnland,AL,07718,Dunnland,AL,07718,Bennett-Sanchez,279 Stephen Fork,Riley-Miller,812 Jones Mews Suite 921,invoice_136.pdf0.txt,10.955,120.505
68357221,09/26/2013,12.5,912-90-1891,907-78-5377,GB930EJF07529100824109,Michaelville,VA,25757,Michaelville,VA,25757,Wilson Group,8757 Garcia Square Suite 428,Edwards-Morris,1742 Clark Ways,invoice_136_color_B_245.pdf0.txt,1.25,13.75
84422507,12/08/2019,4794.87,925-76-2898,961-79-5330,GB9OLFJV64626371402095,Lake Waltermouth,MS,38936,Lake Waltermouth,MS,38936,Shelton Inc,6718 Esparza Bridge,"Watson, White and Lawrence",5575 Santiago Extension,invoice_137.pdf0.txt,479.487,5274.357
14964142,12/23/2013,4.49,942-98-6527,997-75-8847,GB051IBQM91202997209705,Port Brookestad,HI,14952,Port Brookestad,HI,14952,Lewis and Sons,49350 Thompson Curve Apt. 061,Dixon-Wall,5816 Kenneth Roads,invoice_137_color_B_244.pdf0.txt,0.44900000000000007,4.939
12830936,04/27/2021,5936.86,980-77-0423,914-78-1124,GB30QDV020178698471358,Daniellebury,MI,72789,Daniellebury,MI,72789,Johnson LLC,5736 Boyer Square Suite 316,"Smith, Anderson and Ward",4365 Osborn Shoals,invoice_138.pdf0.txt,593.686,6530.545999999999
56323869,04/24/2015,28.2,971-83-6638,945-75-6433,GB28YQLQ88894983812058,Lake Kathrynview,AL,75640,Lake Kathrynview,AL,75640,Weeks-Taylor,03091 Angela Mission Apt. 045,"Lopez, Bailey and White",558 Diane Squares,invoice_138_color_B_250.pdf0.txt,2.8200000000000003,31.02
68043569,09/09/2011,881.64,958-76-9947,960-87-0985,GB94RSWA52694096609663,Jeffreybury,SC,21462,Jeffreybury,SC,21462,"Schultz, Lopez and Smith",789 Ramirez Row,David-Rhodes,306 Valdez Run,invoice_139.pdf0.txt,88.164,969.804
88408888,06/02/2012,591.52,959-87-8700,941-94-1167,GB56RKWK49595633158002,Mayton,OR,54521,Mayton,OR,54521,"Burns, Hall and Lopez",7540 Regina Fords,"Baldwin, Johnson and Jenkins",77711 Bryant Drive,invoice_139_color_B_254.pdf0.txt,59.152,650.672
11724045,04/09/2019,1000.66,993-85-5743,960-90-5812,GB22ZRXH48162486613715,Susanton,NJ,27596,Susanton,NJ,27596,"Swanson, Garza and Snyder",04920 Brianna Motorway Suite 351,Alvarado-Patel,222 Harris Club,invoice_13_color_B_247.pdf0.txt,100.066,1100.7259999999999
62517865,06/02/2015,8.5,992-71-8540,929-86-0601,GB73HCPH34959888432899,Maxside,DC,65686,Maxside,DC,65686,Trujillo-Hunt,430 Mark Ferry Suite 495,Lee and Sons,8552 Karen Islands,invoice_14.pdf0.txt,0.8500000000000001,9.35
32656405,10/25/2013,801.86,991-86-2003,931-98-1810,GB32NFYI33796812641240,West Cindyshire,CO,65813,West Cindyshire,CO,65813,Mcdonald and Sons,66687 Lori Common,"James, Johnson and Adkins",0809 Paul Course Apt. 768,invoice_140.pdf0.txt,80.186,882.046
52557179,08/22/2012,37297.7,918-99-7254,910-74-8692,GB92BFOY90525696154731,Daleton,MS,62335,Daleton,MS,62335,Serrano-Jones,309 Anita Mills Suite 763,Gonzalez-Ross,905 Rebecca Corner,invoice_140_color_B_252.pdf0.txt,3729.77,41027.469999999994
80150256,07/24/2017,95.32,907-73-8970,970-76-7515,GB70TBBJ52427765625418,South Melanieton,VA,36822,South Melanieton,VA,36822,"Jenkins, Green and Strickland",74549 Delgado Court Suite 000,Perkins PLC,67729 Palmer Creek Apt. 286,invoice_141.pdf0.txt,9.532,104.85199999999999
59540671,09/23/2012,145.27,986-85-5547,926-70-0253,GB97NUCF18280907270412,Georgeview,LA,75275,Georgeview,LA,75275,"Williams, Merritt and Hodge",17057 Katherine Road,"Garcia, Wheeler and Johnston",USS Ellis,invoice_141_color_B_252.pdf0.txt,14.527000000000001,159.79700000000003
